,Airline,Source,Destination,Route,Dep_Time,Additional_Info,Price,Stops
0,IndiGo,Banglore,New Delhi,BLR → DEL,22:20,No info,3897.0,0
1,Air India,Kolkata,Banglore,CCU → IXR → BBI → BLR,05:50,No info,7662.0,2
2,Jet Airways,Delhi,Cochin,DEL → LKO → BOM → COK,09:25,No info,13882.0,2
3,IndiGo,Kolkata,Banglore,CCU → NAG → BLR,18:05,No info,6218.0,1
4,IndiGo,Banglore,New Delhi,BLR → NAG → DEL,16:50,No info,13302.0,1
5,SpiceJet,Kolkata,Banglore,CCU → BLR,09:00,No info,3873.0,0
6,Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,18:55,In-flight meal not included,11087.0,1
7,Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,08:00,No info,22270.0,1
8,Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,08:55,In-flight meal not included,11087.0,1
9,Multiple carriers,Delhi,Cochin,DEL → BOM → COK,11:25,No info,8625.0,1
10,Air India,Delhi,Cochin,DEL → BLR → COK,09:45,No info,8907.0,1
11,IndiGo,Kolkata,Banglore,CCU → BLR,20:20,No info,4174.0,0
12,Air India,Chennai,Kolkata,MAA → CCU,11:40,No info,4667.0,0
13,Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,21:10,In-flight meal not included,9663.0,1
14,IndiGo,Kolkata,Banglore,CCU → BLR,17:15,No info,4804.0,0
15,Air India,Delhi,Cochin,DEL → AMD → BOM → COK,16:40,No info,14011.0,2
16,SpiceJet,Delhi,Cochin,DEL → PNQ → COK,08:45,No info,5830.0,1
17,Jet Airways,Delhi,Cochin,DEL → BOM → COK,14:00,In-flight meal not included,10262.0,1
18,Air India,Delhi,Cochin,DEL → CCU → BOM → COK,20:15,No info,13381.0,2
19,Jet Airways,Delhi,Cochin,DEL → BOM → COK,16:00,In-flight meal not included,12898.0,1
20,GoAir,Delhi,Cochin,DEL → BOM → COK,14:10,No info,19495.0,1
21,Air India,Banglore,New Delhi,BLR → COK → DEL,22:00,No info,6955.0,1
22,IndiGo,Banglore,Delhi,BLR → DEL,04:00,No info,3943.0,0
23,IndiGo,Banglore,Delhi,BLR → DEL,18:55,No info,4823.0,0
24,Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,18:55,In-flight meal not included,7757.0,1
25,Jet Airways,Delhi,Cochin,DEL → IDR → BOM → COK,21:25,No info,13292.0,2
26,IndiGo,Delhi,Cochin,DEL → LKO → COK,21:50,No info,8238.0,1
27,GoAir,Delhi,Cochin,DEL → BOM → COK,07:00,No info,7682.0,1
28,Vistara,Banglore,Delhi,BLR → DEL,09:45,No info,4668.0,0
29,Vistara,Chennai,Kolkata,MAA → CCU,07:05,No info,3687.0,0
30,Vistara,Chennai,Kolkata,MAA → CCU,07:05,No info,3687.0,0
31,Air India,Kolkata,Banglore,CCU → GAU → DEL → BLR,09:50,No info,13227.0,2
32,IndiGo,Banglore,Delhi,BLR → DEL,04:00,No info,4423.0,0
33,Jet Airways,Delhi,Cochin,DEL → NAG → BOM → COK,14:35,In-flight meal not included,10919.0,2
34,Jet Airways,Delhi,Cochin,DEL → BOM → COK,07:05,In-flight meal not included,12373.0,1
35,IndiGo,Delhi,Cochin,DEL → BOM → COK,10:35,No info,5894.0,1
36,SpiceJet,Kolkata,Banglore,CCU → MAA → BLR,15:05,No info,4649.0,1
37,Air India,Kolkata,Banglore,CCU → BLR,14:15,No info,6245.0,0
38,Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,07:00,No info,19225.0,1
39,Jet Airways,Delhi,Cochin,DEL → BOM → COK,07:05,No info,14924.0,1
40,Multiple carriers,Delhi,Cochin,DEL → HYD → COK,07:05,No info,9646.0,1
41,Air India,Banglore,New Delhi,BLR → BOM → DEL,06:45,No info,8714.0,1
42,Jet Airways,Delhi,Cochin,DEL → BOM → COK,20:55,In-flight meal not included,12373.0,1
43,Air Asia,Banglore,Delhi,BLR → DEL,11:10,No info,3383.0,0
44,Multiple carriers,Delhi,Cochin,DEL → BOM → COK,09:00,No info,13062.0,1
45,SpiceJet,Banglore,New Delhi,BLR → DEL,05:45,No check-in baggage included,3527.0,0
46,IndiGo,Banglore,Delhi,BLR → DEL,04:00,No info,3943.0,0
47,Air India,Chennai,Kolkata,MAA → CCU,11:40,No info,4667.0,0
48,Air India,Kolkata,Banglore,CCU → HYD → BLR,19:00,No info,6117.0,1
49,Jet Airways,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,In-flight meal not included,11150.0,2
50,Jet Airways,Delhi,Cochin,DEL → COK,11:00,In-flight meal not included,7202.0,0
51,Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,09:35,No info,12121.0,1
52,IndiGo,Banglore,New Delhi,BLR → DEL,22:20,No info,4377.0,0
53,IndiGo,Banglore,Delhi,BLR → DEL,21:15,No info,3943.0,0
54,Air Asia,Banglore,Delhi,BLR → DEL,23:55,No info,4483.0,0
55,Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,19:45,No info,14231.0,1
56,Air India,Banglore,New Delhi,BLR → BOM → AMD → DEL,08:50,No info,17345.0,2
57,Vistara,Chennai,Kolkata,MAA → CCU,07:05,No info,7414.0,0
58,Multiple carriers,Delhi,Cochin,DEL → BOM → COK,19:00,No info,8073.0,1
59,Vistara,Mumbai,Hyderabad,BOM → DEL → HYD,15:40,No info,12395.0,1
60,Air India,Kolkata,Banglore,CCU → BOM → BLR,09:25,No info,8366.0,1
61,Air India,Delhi,Cochin,DEL → MAA → COK,06:05,No info,5117.0,1
62,Multiple carriers,Delhi,Cochin,DEL → BOM → COK,08:45,No info,12524.0,1
63,IndiGo,Delhi,Cochin,DEL → BOM → COK,15:00,No info,7191.0,1
64,Vistara,Chennai,Kolkata,MAA → CCU,07:05,No info,3687.0,0
65,IndiGo,Delhi,Cochin,DEL → BOM → COK,10:35,No info,5894.0,1
66,Vistara,Banglore,Delhi,BLR → DEL,09:45,No info,5403.0,0
67,Air India,Mumbai,Hyderabad,BOM → HYD,13:55,No info,3625.0,0
68,Air India,Delhi,Cochin,DEL → BHO → BOM → COK,05:55,No info,10861.0,2
69,IndiGo,Chennai,Kolkata,MAA → CCU,13:20,No info,6297.0,0
70,Jet Airways,Mumbai,Hyderabad,BOM → HYD,07:05,No info,5678.0,0
71,Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,05:45,In-flight meal not included,9134.0,1
72,Multiple carriers,Delhi,Cochin,DEL → BOM → COK,11:40,In-flight meal not included,10791.0,1
73,Jet Airways,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,No info,12819.0,2
74,IndiGo,Delhi,Cochin,DEL → BLR → COK,05:05,No info,6893.0,1
75,Vistara,Banglore,New Delhi,BLR → DEL,09:50,No info,7240.0,0
76,GoAir,Banglore,Delhi,BLR → DEL,11:40,No info,3898.0,0
77,IndiGo,Mumbai,Hyderabad,BOM → HYD,06:25,No info,4049.0,0
78,Jet Airways,Delhi,Cochin,DEL → BOM → COK,17:30,In-flight meal not included,10262.0,1
79,SpiceJet,Chennai,Kolkata,MAA → CCU,08:20,No check-in baggage included,3332.0,0
80,Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,21:10,In-flight meal not included,10844.0,1
81,Jet Airways,Banglore,New Delhi,BLR → DEL,19:55,No info,7229.0,0
82,Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,06:30,No info,13941.0,1
83,IndiGo,Delhi,Cochin,DEL → BOM → COK,11:25,No info,5894.0,1
84,Multiple carriers,Delhi,Cochin,DEL → BOM → COK,09:00,No info,10197.0,1
85,Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,14:05,In-flight meal not included,13712.0,1
86,IndiGo,Delhi,Cochin,DEL → MAA → COK,02:00,No info,5636.0,1
87,Jet Airways,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,No info,13014.0,2
88,Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,08:25,In-flight meal not included,7064.0,1
89,Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,20:25,In-flight meal not included,10703.0,1
90,Multiple carriers,Delhi,Cochin,DEL → HYD → COK,13:15,No info,9646.0,1
91,Multiple carriers,Delhi,Cochin,DEL → BOM → COK,02:15,No info,17057.0,1
92,Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,16:55,No info,13817.0,1
93,Air India,Delhi,Cochin,DEL → BHO → BOM → COK,05:55,No info,13748.0,2
94,Air India,Kolkata,Banglore,CCU → BLR,20:45,No info,4880.0,0
95,IndiGo,Chennai,Kolkata,MAA → CCU,05:15,No info,3540.0,0
96,SpiceJet,Banglore,Delhi,BLR → DEL,05:55,No check-in baggage included,3257.0,0
97,Jet Airways,Banglore,Delhi,BLR → DEL,19:50,In-flight meal not included,6478.0,0
98,Jet Airways,Mumbai,Hyderabad,BOM → HYD,07:05,No info,8040.0,0
99,Jet Airways,Delhi,Cochin,DEL → ATQ → BOM → COK,20:00,No info,14300.0,2
100,Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,08:25,No info,14781.0,1
101,Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,20:00,No info,14939.0,1
102,Jet Airways,Delhi,Cochin,DEL → BOM → COK,20:55,In-flight meal not included,10262.0,1
103,Air India,Kolkata,Banglore,CCU → MAA → BLR,14:35,No info,6528.0,1
104,Air India,Banglore,Delhi,BLR → DEL,06:10,No info,6121.0,0
105,Jet Airways,Delhi,Cochin,DEL → JAI → BOM → COK,19:30,In-flight meal not included,13029.0,2
106,Multiple carriers,Delhi,Cochin,DEL → BOM → COK,11:40,No info,11421.0,1
107,Multiple carriers,Delhi,Cochin,DEL → BOM → COK,04:45,No info,7574.0,1
108,Air India,Delhi,Cochin,DEL → JDH → BOM → COK,12:55,No info,11596.0,2
109,Jet Airways,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,No info,15129.0,2
110,Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,14:05,No info,13555.0,1
111,IndiGo,Banglore,Delhi,BLR → DEL,18:55,No info,5780.0,0
112,Vistara,Kolkata,Banglore,CCU → DEL → BLR,20:20,No info,9397.0,1
113,Jet Airways,Delhi,Cochin,DEL → BOM → COK,18:15,No info,17024.0,1
114,GoAir,Delhi,Cochin,DEL → BOM → COK,07:00,No info,5281.0,1
115,Multiple carriers,Delhi,Cochin,DEL → HYD → COK,07:05,No info,10348.0,1
116,Air India,Delhi,Cochin,DEL → MAA → COK,17:20,No info,12677.0,1
117,Multiple carriers,Delhi,Cochin,DEL → BOM → COK,15:25,No info,15147.0,1
118,Vistara,Banglore,Delhi,BLR → DEL,07:00,No info,4668.0,0
119,Jet Airways,Delhi,Cochin,DEL → BOM → COK,07:05,No info,15554.0,1
120,SpiceJet,Banglore,Delhi,BLR → DEL,05:55,No info,3971.0,0
121,Air India,Mumbai,Hyderabad,BOM → HYD,15:00,No info,3100.0,0
122,Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,20:00,In-flight meal not included,9663.0,1
123,Air India,Delhi,Cochin,DEL → BOM → COK,23:00,No info,27430.0,1
124,IndiGo,Chennai,Kolkata,MAA → CCU,05:15,No info,3540.0,0
125,Air India,Kolkata,Banglore,CCU → BBI → BOM → BLR,12:00,No info,10676.0,2
126,Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,14:05,No info,13044.0,1
127,Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,20:00,No info,14388.0,1
